product_series,family,subtype,data_source,d_mm,dw_mm,Mmax_Nm,D_mm,l_mm,e_mm,H_mm,A_mm,d1_mm,MA_Nm,Z_count,S_spec,DIN_spec,class_spec,nmax_rpm,pN_N_per_mm2,I_kgm2,weight_kg
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,300,230,300000,485,132,10,142,360,307,840,20,M 24 x 70,933,10.9,1181,323,4.7555885,117
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,320,250,332000,520,133,10,143,380,327,840,21,M 24 x 70,933,10.9,1102,319,6.2826175,135
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,340,260,427000,570,146,12,158,402,348,840,22,M 24 x 80,931,10.9,1005,278,10.2530016,186
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,360,280,539000,590,150,12,162,424,368,840,24,M 24 x 80,931,10.9,971,278,11.9213225,200
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,380,290,536000,635,149,14,163,448,388,1250,18,M 27 x 80,933,10.9,902,258,16.5612857,242
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,390,300,561000,650,152,14,166,458,398,1250,18,M 27 x 80,933,10.9,881,252,18.1541897,253
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,400,310,648000,660,158,15,173,475,410,1250,20,M 27 x 80,931,10.9,868,255,20.3512933,273
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,420,330,731300,690,171,15,186,495,430,1250,21,M 27 x 80,931,10.9,830,236,25.7145823,315
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,440,350,912000,740,181,15,196,516,448,1250,24,M 27 x 80,931,10.9,774,243,36.37552,393
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,460,370,1026000,770,181,15,196,536,468,1250,25,M 27 x 80,933,10.9,744,243,42.5268672,423
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,480,390,1177000,800,201,15,216,556,488,1250,27,M 27 x 80,933,10.9,716,223,54.3812311,500
3171,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,500,410,1288000,850,201,15,216,580,510,1250,28,M 27 x 80,933,10.9,674,222,70.0908985,577
