product_series,family,subtype,data_source,d_mm,dw_mm,Mmax_Nm,D_mm,l_mm,e_mm,H_mm,A_mm,d1_mm,MA_Nm,Z_count,S_spec,DIN_spec,class_spec,nmax_rpm,pN_N_per_mm2,I_kgm2,weight_kg
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,550,,1020,260,35,295,748,670,2200,24,M33x110,933,10.9,562,204,175.74,1004
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,570,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,700,560,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,580,,1080,260,37,297,782,710,2200,28,M33x120,933,10.9,531,208,220.57,1141
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,600,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,750,600,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,620,,1150,278,41,319,848,760,2200,32,M33x120,933,10.9,498,213,301.41,1346
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,650,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,800,640,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,660,,1230,296,42,338,900,810,2200,32,M33x130,933,10.9,466,207,420.8,1646
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,700,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,850,650,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,700,,1300,315,44,359,950,860,2850,30,M36x130,933,10.9,441,201,555.97,1942
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,730,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,900,700,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,730,,1350,332,47,379,1000,915,2850,32,M36x140,933,10.9,424,192,668.94,2142
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,760,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,950,750,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,780,,1400,360,49,409,1050,965,2850,36,M36x140,933,10.9,409,183,823.4,2425
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,820,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,1000,800,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,830,,1420,380,60,440,1100,1020,2850,36,M36x160,933,10.9,402,175,880.02,2740
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,860,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,1050,850,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,880,,1520,400,58,458,1150,1070,2850,36,M36x160,933,10.9,377,173,1245.24,3078
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,920,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,1100,900,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,930,,1570,430,61,491,1200,1120,2850,40,M36x170,933,10.9,365,166,1496.97,3438
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,960,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,1200,940,,,,,,,,,,,,,,,,
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,1000,,1630,460,66,526,1300,1220,2850,40,M36x180,933,10.9,352,143,1730.72,3566
3371,interference,shrink_disc_2part,TAS_SCHAEFER_catalog,,1050,,,,,,,,,,,,,,,,
