product_series,family,subtype,data_source,d_mm,dw_mm,Mmax_Nm,D_mm,l_mm,e_mm,H_mm,A_mm,d1_mm,MA_Nm,Z_count,S_spec,DIN_spec,class_spec,nmax_rpm,pN_N_per_mm2,I_kgm2,weight_kg
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,14,11,27,37,9,1.5,12,24,15,2.4,3,M  4 x  10,933,8.8,15400,254,1.37E-05,0.07
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,16,13,59,41,12,1.5,15,27,17,4.8,3,M  5 x  12,933,8.8,13900,240,2.66E-05,0.11
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,18,15,110,43,12,1.5,15,29,19,4.8,4,M  5 x  12,933,8.8,13300,285,3.26E-05,0.12
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,20,17,220,48,14,2.75,19.5,34,24,6,5,M  5 x  18,933,10.9,11900,322,6.42E-05,0.19
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,21,18,240,48,14,2.75,19.5,34,24,6,5,M  5 x  18,933,10.9,11900,307,6.18E-05,0.18
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,22,19,250,48,14,2.75,19.5,36,26,6,5,M  5 x  18,933,10.9,11900,293,6.27E-05,0.18
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,24,20,300,50,14,2.5,19,36,26,6,6,M  5 x  18,933,10.9,11400,322,7.31E-05,0.19
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,30,25,360,60,16,2.75,21.5,44,32,6,6,M  5 x  18,931,10.9,9500,225,0.0001687,0.3
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,36,30,640,72,18,2.75,23.5,52,38,12,5,M  6 x  20,933,10.9,7900,231,0.0003888,0.48
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,38,31,910,80,20,3,26,56,41,12,7,M  6 x  25,933,10.9,7100,275,0.0006569,0.67
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,40,32,740,75,19,2.75,24.5,57,43,12,6,M  6 x  20,933,10.9,7600,236,0.0004967,0.55
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,41,33,940,80,20,2.75,25.5,61,46,12,7,M  6 x  20,933,10.9,7100,255,0.0006465,0.64
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,44,35,970,80,20,2.75,25.5,61,47,12,7,M  6 x  20,933,10.9,7100,238,0.0006356,0.61
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,50,40,1200,90,22,3,28,70,53,12,8,M  6 x  25,933,10.9,6300,217,0.0010998,0.83
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,55,45,1500,100,23,3.75,30.5,75,58,12,8,M  6 x  25,933,10.9,5700,189,0.0017909,1.1
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,62,50,2100,110,23,3.75,30.5,86,66,12,10,M  6 x  25,933,10.9,5200,210,0.0025909,1.3
3071,press,shrink_disc_3part,TAS_SCHAEFER_catalog,68,55,2200,115,23,3.75,30.5,86,72,12,10,M  6 x  25,933,10.9,4900,191,0.0031236,1.4
