;;;;;;TAS 3371;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
d (mm);dw  (mm);M max (Nm);D (mm);I (mm);e (mm);H (mm);A (mm);d1 (mm);MA (Nm);Z (Stk.);S;DIN;Klasse;nmax (min-1);pN  (N/mm²);I (kgm²);Gewicht (kg)
;155; 87.000   ;340;71;13;84;238;206;250;16;M16x050;933;10.9;1685;241;0,636412;36,9
;165; 100.000   ;;;;;;;;;;;;;;;
220;160; 103.000   ;;;;;;;;;;;;;;;
;170; 119.000   ;370;93;14;107;270;230;490;15;M20x060;933;10.9;1549;212;1,31;51,5
;180; 136.000   ;;;;;;;;;;;;;;;
240;170; 122.000   ;;;;;;;;;;;;;;;
;180; 140.000   ;405;95;14;109;288;248;490;16;M20x060;933;10.9;1415;217;1,70;63,9
;200; 179.000   ;;;;;;;;;;;;;;;
260;190; 163.000   ;;;;;;;;;;;;;;;
;200; 184.000   ;430;105;14;119;306;268;490;15;M20x060;933;10.9;1332;208;2,36;77,5
;220; 231.000   ;;;;;;;;;;;;;;;
280;210; 215.000   ;;;;;;;;;;;;;;;
;220; 240.000   ;460;114;15;129;328;288;490;16;M20x060;933;10.9;1246;204;3,34;94,7
;240; 295.000   ;;;;;;;;;;;;;;;
300;220; 270.000   ;;;;;;;;;;;;;;;
;230; 300.000   ;485;123;17;140;354;308;820;16;M24x070;933;10.9;1181;215;4,40;112
;250; 363.000   ;;;;;;;;;;;;;;;
320;240; 301.000   ;;;;;;;;;;;;;;;
;250; 332.000   ;520;125;16;141;380;328;820;18;M24x070;933;10.9;1102;197;5,93;133
;270; 398.000   ;;;;;;;;;;;;;;;
340;250; 390.000   ;;;;;;;;;;;;;;;
;260; 427.000   ;570;134;17;151;402;349;820;18;M24x070;933;10.9;1005;223;9,35;177
;280; 506.000   ;;;;;;;;;;;;;;;
350;270; 493.000   ;;;;;;;;;;;;;;;
;280; 535.000   ;580;140;18;158;414;365;820;20;M24x070;933;10.9;988;223;10,40;190
;290; 580.000   ;;;;;;;;;;;;;;;
360;270; 496.000   ;;;;;;;;;;;;;;;
;280; 539.000   ;590;140;18;158;424;369;820;20;M24x070;933;10.9;971;226;11,06;194
;300; 631.000   ;;;;;;;;;;;;;;;
380;290; 585.000   ;;;;;;;;;;;;;;;
;300; 632.000   ;640;146;18;164;444;388;1210;18;M27x070;933;10.9;895;219;16,23;244
;310; 681.000   ;;;;;;;;;;;;;;;
390;290; 640.000   ;;;;;;;;;;;;;;;
;300; 691.000   ;645;146;19;165;454;398;1210;18;M27x080;933;10.9;888;240;16,56;243
